plot,trmt,harvest,ff_mite,pr_mite,total_mite,total_marth
1,Gh,I,965.2482562624739,87.4756232237867,1052.7238794862606,1067.8058834903618
2,Ex,I,445.4960250055287,121.49891591059873,566.9949409161275,642.2085555274505
3,Gh,I,865.7427046847214,135.1159134479045,1000.8586181326259,1010.8672043139522
4,Ex,I,366.6228149322201,102.91166734939512,469.53448228161517,620.6859937010393
5,Gh,I,418.24913965674875,88.25440561564423,506.503545272393,552.5493221153378
6,Ex,I,235.20855259558633,19.60071271629886,254.80926531188518,266.0096725783417
7,Ex,I,1216.1735015795898,62.905525943771885,1279.0790275233617,1314.0265419365683
8,Gh,I,360.6418145064731,97.09587313635815,457.73768764283125,471.608526662311
9,Gh,I,810.9522251136565,90.40123165201416,901.3534567656707,930.6009140648517
10,Ex,I,341.69009487440235,84.10833104600674,425.7984259204091,438.94035264634766
11,Gh,I,425.0416161779405,131.79584997765596,556.8374661555965,622.7353911444244
12,Ex,I,332.40002179986965,117.31765475289517,449.71767655276483,455.3042315409979
1,Gh,F,534.8305718102723,21.76636048065062,556.596932290923,631.2244539388679
2,Ex,F,621.6666141435871,96.07574945855437,717.7423636021415,731.871150287223
3,Gh,F,848.9464285744092,180.55950159978107,1029.5059301741903,1089.6924307074507
4,Ex,F,329.77113209993576,72.98213579260873,402.7532678925445,483.84452988433196
5,Gh,F,806.6536756992282,162.53469584984447,969.1883715490726,987.2477821990553
6,Ex,F,539.8324068557546,42.68442286766432,582.5168297234189,600.0927685512806
7,Ex,F,3857.362653921963,65.6572366625015,3923.0198905844645,3944.9056361386315
8,Gh,F,662.775320414565,35.03658081486688,697.8119012294319,741.6076272480155
9,Gh,F,239.90562308620767,130.64167593803387,370.5472990242415,477.43594297354196
10,Ex,F,683.9072693190245,39.16649559976792,723.0737649187924,756.2146458109037
11,Gh,F,560.9981275868994,49.159629736996344,610.1577573238957,650.6421582837751
12,Ex,F,556.507925082719,33.39047550496314,589.8984005876821,612.1587175909909
